427  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'servletConfig': no URL paths identified
427  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'contextParameters': no URL paths identified
427  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'contextAttributes': no URL paths identified
427  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'messageSource': no URL paths identified
427  DEBUG [2013-03-11 00:48:06]  Rejected bean name 'applicationEventMulticaster': no URL paths identified
427  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping#0'
427  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0'
428  DEBUG [2013-03-11 00:48:06]  Creating shared instance of singleton bean 'org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter#0'
428  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter#0'
500  DEBUG [2013-03-11 00:48:06]  Eagerly caching bean 'org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter#0' to allow for resolving potential circular references
512  DEBUG [2013-03-11 00:48:06]  Creating instance of bean '(inner bean)#1'
515  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0'
516  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean '(inner bean)#1'
516  DEBUG [2013-03-11 00:48:06]  Creating instance of bean '(inner bean)#2'
528  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean '(inner bean)#2'
529  DEBUG [2013-03-11 00:48:06]  Creating instance of bean '(inner bean)#3'
539  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean '(inner bean)#3'
540  DEBUG [2013-03-11 00:48:06]  Creating instance of bean '(inner bean)#4'
542  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean '(inner bean)#4'
542  DEBUG [2013-03-11 00:48:06]  Creating instance of bean '(inner bean)#5'
549  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean '(inner bean)#5'
549  DEBUG [2013-03-11 00:48:06]  Creating instance of bean '(inner bean)#6'
566  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean '(inner bean)#6'
566  DEBUG [2013-03-11 00:48:06]  Creating instance of bean '(inner bean)#7'
576  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean '(inner bean)#7'
576  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter#0'
576  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'org.springframework.web.servlet.handler.MappedInterceptor#0'
577  DEBUG [2013-03-11 00:48:06]  Creating shared instance of singleton bean 'org.springframework.web.servlet.view.InternalResourceViewResolver#0'
577  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'org.springframework.web.servlet.view.InternalResourceViewResolver#0'
581  DEBUG [2013-03-11 00:48:06]  Eagerly caching bean 'org.springframework.web.servlet.view.InternalResourceViewResolver#0' to allow for resolving potential circular references
591  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'org.springframework.web.servlet.view.InternalResourceViewResolver#0'
591  DEBUG [2013-03-11 00:48:06]  Creating shared instance of singleton bean 'org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter#0'
591  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter#0'
592  DEBUG [2013-03-11 00:48:06]  Eagerly caching bean 'org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter#0' to allow for resolving potential circular references
594  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter#0'
595  DEBUG [2013-03-11 00:48:06]  Unable to locate LifecycleProcessor with name 'lifecycleProcessor': using default [org.springframework.context.support.DefaultLifecycleProcessor@639d0cf0]
595  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'lifecycleProcessor'
596  DEBUG [2013-03-11 00:48:06]  Unable to locate MultipartResolver with name 'multipartResolver': no multipart request handling provided
597  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'org.springframework.web.servlet.i18n.AcceptHeaderLocaleResolver'
600  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'org.springframework.web.servlet.i18n.AcceptHeaderLocaleResolver'
600  DEBUG [2013-03-11 00:48:06]  Unable to locate LocaleResolver with name 'localeResolver': using default [org.springframework.web.servlet.i18n.AcceptHeaderLocaleResolver@f0fba68]
601  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'org.springframework.web.servlet.theme.FixedThemeResolver'
606  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'org.springframework.web.servlet.theme.FixedThemeResolver'
606  DEBUG [2013-03-11 00:48:06]  Unable to locate ThemeResolver with name 'themeResolver': using default [org.springframework.web.servlet.theme.FixedThemeResolver@3685be9]
606  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping#0'
606  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter#0'
606  DEBUG [2013-03-11 00:48:06]  Returning cached instance of singleton bean 'org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter#0'
608  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerExceptionResolver'
622  DEBUG [2013-03-11 00:48:06]  Finished creating instance of bean 'org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerExceptionResolver'
622  DEBUG [2013-03-11 00:48:06]  Creating instance of bean 'org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver'
